databaseId,caseId.en,title,citation,rootURL,databaseyear,format,,webURL,citingCasesURI,,citingCasesRoot,citingCasesMethod,apiKey
csc-scc,2016scc56,Canada (Attorney General) v. Fairmont Hotels Inc.,2016 SCC 56 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc56/2016scc56.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc56/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc55,Jean Coutu Group (PJC) Inc. v. Canada (Attorney General),2016 SCC 55 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc55/2016scc55.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc55/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc54,Windsor (City) v. Canadian Transit Co.,2016 SCC 54 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc54/2016scc54.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc54/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc53,Alberta (Information and Privacy Commissioner) v. University of Calgary,2016 SCC 53 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc53/2016scc53.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc53/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc52,Lizotte v. Aviva Insurance Company of Canada,2016 SCC 52 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc52/2016scc52.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc52/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc51,Mennillo v. Intramodal inc.,2016 SCC 51 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc51/2016scc51.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc51/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc50,Royal Bank of Canada v. Trang,2016 SCC 50 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc50/2016scc50.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc50/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc49,British Columbia Teachers' Federation v. British Columbia,2016 SCC 49 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc49/2016scc49.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc49/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc48,Benhaim v. St‑Germain,2016 SCC 48 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc48/2016scc48.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc48/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc47,Edmonton (City) v. Edmonton East (Capilano) Shopping Centres Ltd.,2016 SCC 47 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc47/2016scc47.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc47/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc46,R. v. Diamond,2016 SCC 46 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc46/2016scc46.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc46/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc45,Urban Communications Inc. v. BCNET Networking Society,2016 SCC 45 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc45/2016scc45.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc45/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc44,Morasse v. Nadeau‑Dubois,2016 SCC 44 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc44/2016scc44.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc44/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc43,R. v. Anthony‑Cook,2016 SCC 43 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc43/2016scc43.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc43/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc42,Endean v. British Columbia,2016 SCC 42 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc42/2016scc42.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc42/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc41,R. v. C.K-D.,2016 SCC 41 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc41/2016scc41.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc41/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc40,R. v. Rowson,2016 SCC 40 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc40/2016scc40.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc40/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc39,Conférence des juges de paix magistrats du Québec v. Quebec (Attorney General),2016 SCC 39 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc39/2016scc39.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc39/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc38,Canada (Attorney General) v. Igloo Vikski Inc.,2016 SCC 38 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc38/2016scc38.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc38/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc37,Ledcor Construction Ltd. v. Northbridge Indemnity Insurance Co.,2016 SCC 37 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc37/2016scc37.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc37/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc36,Musqueam Indian Band v. Musqueam Indian Band (Board of Review),2016 SCC 36 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc36/2016scc36.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc36/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc35,Lafortune v. Financière agricole du Québec,2016 SCC 35 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc35/2016scc35.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc35/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc34,Ferme Vi‑Ber inc. v. Financière agricole du Québec,2016 SCC 34 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc34/2016scc34.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc34/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc33,R. v. Villaroman,2016 SCC 33 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc33/2016scc33.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc33/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc32,R. v. Cawthorne,2016 SCC 32 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc32/2016scc32.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc32/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc31,R. v. K.R.J.,2016 SCC 31 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc31/2016scc31.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc31/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc30,Lapointe Rosenstein Marchand Melançon LLP v. Cassels Brock & Blackwell LLP,2016 SCC 30 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc30/2016scc30.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc30/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc29,Wilson v. Atomic Energy of Canada Ltd.,2016 SCC 29 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc29/2016scc29.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc29/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc28,R. v. Williamson,2016 SCC 28 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc28/2016scc28.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc28/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc27,R. v. Jordan,2016 SCC 27 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc27/2016scc27.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc27/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc26,R. v. Vassell,2016 SCC 26 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc26/2016scc26.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc26/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc25,British Columbia (Workers’ Compensation Appeal Tribunal) v. Fraser Health Authority,2016 SCC 25 (CanLII),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc25/2016scc25.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc25/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016canlii37772,Stephen Patrick Burrows v. Her Majesty the Queen,2016 CanLII 37772 (SCC),https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016canlii37772/2016canlii37772.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016canlii37772/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc24,R. v. Saeed,"[2016] 1 SCR 518, 2016 SCC 24 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc24/2016scc24.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc24/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc23,Rogers Communications Inc. v. Châteauguay (City),"[2016] 1 SCR 467, 2016 SCC 23 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc23/2016scc23.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc23/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc22,R. v. D.L.W.,"[2016] 1 SCR 402, 2016 SCC 22 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc22/2016scc22.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc22/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc21,Canada (National Revenue) v. Thompson,"[2016] 1 SCR 381, 2016 SCC 21 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc21/2016scc21.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc21/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc20,Canada (Attorney General) v. Chambre des notaires du Québec,"[2016] 1 SCR 336, 2016 SCC 20 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc20/2016scc20.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc20/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc19,Heritage Capital Corp. v. Equitable Trust Co.,"[2016] 1 SCR 306, 2016 SCC 19 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc19/2016scc19.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc19/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc18,Krayzel Corp. v. Equitable Trust Co.,"[2016] 1 SCR 273, 2016 SCC 18 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc18/2016scc18.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc18/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc17,R. v. Laliberté,"[2016] 1 SCR 270, 2016 SCC 17 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc17/2016scc17.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc17/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc16,R. v. Shaoulle,"[2016] 1 SCR 268, 2016 SCC 16 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc16/2016scc16.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc16/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc15,World Bank Group v. Wallace,"[2016] 1 SCR 207, 2016 SCC 15 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc15/2016scc15.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc15/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc14,R. v. Safarzadeh‑Markhali,"[2016] 1 SCR 180, 2016 SCC 14 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc14/2016scc14.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc14/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
csc-scc,2016scc13,R. v. Lloyd,"[2016] 1 SCR 130, 2016 SCC 13 (CanLII)",https://www.canlii.org/en/ca/scc/doc/,2016,.html,/,https://www.canlii.org/en/ca/scc/doc/2016/2016scc13/2016scc13.html,http://api.canlii.org/v1/caseCitator/en/csc-scc/2016scc13/citingCases?api_key=6gauat4nerh7ysgvv2t77nu4,,http://api.canlii.org/v1/caseCitator/en/,/citingCases?,api_key=6gauat4nerh7ysgvv2t77nu4
